,key,3,10,5,auditReportDate
23318,2020.03.302020.03.30CB(2019.12)003530110111-0003155,한화투자증권,110111-0003155,(2019.12),2019년12월31일_2018년12월31일_2020년3월16일_
3938,2016.05.162016.03.30CB(2015.12)088350110111-0003204,한화생명,110111-0003204,(2015.12),2015년12월31일_2016년3월10일_2014년12월31일_
8218,2017.03.312017.03.31CB(2016.12)088350110111-0003204,한화생명,110111-0003204,(2016.12),2015년12월31일_2016년3월10일_2017년3월13일_2016년12월31일_
13093,2018.04.032018.04.02CB(2017.12)088350110111-0003204,한화생명,110111-0003204,(2017.12),2018년3월15일_2016년12월31일_2017년12월31일_
18038,2019.04.012019.04.01CB(2018.12)088350110111-0003204,한화생명,110111-0003204,(2018.12),2018년12월31일_2019년3월15일_2017년12월31일_
23431,2020.03.312020.03.30CB(2019.12)088350110111-0003204,한화생명,110111-0003204,(2019.12),2019년12월31일_2018년12월31일_2020년3월12일_
3424,2016.03.302016.03.30CB(2015.12)004100110111-0003212,태양금속공업,110111-0003212,(2015.12),2015년12월31일_2014년12월31일_2016년3월16일_
8069,2017.03.312017.03.31CB(2016.12)004100110111-0003212,태양금속공업,110111-0003212,(2016.12),2015년12월31일_2017년3월14일_2016년12월31일_
12956,2018.04.022018.04.02CB(2017.12)004100110111-0003212,태양금속공업,110111-0003212,(2017.12),2018년3월14일_2016년12월31일_2017년12월31일_
17920,2019.04.012019.04.01CB(2018.12)004100110111-0003212,태양금속공업,110111-0003212,(2018.12),2018년12월31일_2019년3월14일_2017년12월31일_
23133,2020.03.302020.03.30CB(2019.12)004100110111-0003212,태양금속공업,110111-0003212,(2019.12),2019년12월31일_2020년3월18일_2018년12월31일_
3265,2016.03.302016.03.30CB(2015.12)000700110111-0003262,유수홀딩스,110111-0003262,(2015.12),2015년12월31일_2016년3월7일_2014년12월31일_
8556,2017.07.282017.03.31CB(2016.12)000700110111-0003262,유수홀딩스,110111-0003262,(2016.12),2015년12월31일_2016년12월31일_2017년3월7일_
12838,2018.04.022018.04.02CB(2017.12)000700110111-0003262,유수홀딩스,110111-0003262,(2017.12),2018년3월2일_2016년12월31일_2017년12월31일_
17741,2019.04.012019.04.01CB(2018.12)000700110111-0003262,유수홀딩스,110111-0003262,(2018.12),2018년12월31일_2019년3월8일_2017년12월31일_
22867,2020.03.302020.03.30CB(2019.12)000700110111-0003262,유수홀딩스,110111-0003262,(2019.12),2019년12월31일_2018년12월31일_2020년3월27일_
3347,2016.03.302016.03.30CB(2015.12)000440110111-0003428,중앙에너비스,110111-0003428,(2015.12),2016년02월26일_2015년12월31일_2015년1월1일_2014년10월1일_2014년12월31일_
7982,2017.03.312017.03.31CB(2016.12)000440110111-0003428,중앙에너비스,110111-0003428,(2016.12),2015년12월31일_2017년02월28일_2016년12월31일_
10527,2018.04.022018.04.02SB(2017.12)000440110111-0003428,중앙에너비스,110111-0003428,(2017.12),2018년3월7일_2016년12월31일_2017년12월31일_
15513,2019.04.012019.04.01SB(2018.12)000440110111-0003428,중앙에너비스,110111-0003428,(2018.12),2018년12월31일_2017년12월31일_2019년3월13일_
21811,2020.03.272020.03.27CB(2019.12)000440110111-0003428,중앙에너비스,110111-0003428,(2019.12),2019년12월31일_2018년12월31일_2020년03월12일_
3812,2016.05.162016.03.30CB(2015.12)003550110111-0003543,LG,110111-0003543,(2015.12),2015년12월31일_2016년3월10일_2014년12월31일_
7247,2017.03.312017.03.31CB(2016.12)003550110111-0003543,LG,110111-0003543,(2016.12),2015년12월31일_2017년3월16일_2016년12월31일_
12389,2018.04.022018.04.02CB(2017.12)003550110111-0003543,LG,110111-0003543,(2017.12),2018년3월15일_2016년12월31일_2017년12월31일_
17093,2019.04.012019.04.01CB(2018.12)003550110111-0003543,LG,110111-0003543,(2018.12),2018년12월31일_2019년3월18일_2017년12월31일_
21929,2020.03.302020.03.30CB(2019.12)003550110111-0003543,LG,110111-0003543,(2019.12),2019년12월31일_2018년12월31일_2020년3월19일_
3550,2016.03.302016.03.30CB(2015.12)002320110111-0003668,한진,110111-0003668,(2015.12),2015년12월31일_2016년3월10일_2014년12월31일_
8562,2017.08.112017.03.31CB(2016.12)002320110111-0003668,한진,110111-0003668,(2016.12),2015년12월31일_2017년3월16일_2016년12월31일_
12320,2018.03.302018.03.30CB(2017.12)002320110111-0003668,한진,110111-0003668,(2017.12),2017년3월16일_2018년3월15일_2016년12월31일_2017년12월31일_
18028,2019.04.012019.04.01CB(2018.12)002320110111-0003668,한진,110111-0003668,(2018.12),2019년3월19일_2018년12월31일_2017년12월31일_
23306,2020.03.302020.03.30CB(2019.12)002320110111-0003668,한진,110111-0003668,(2019.12),2019년12월31일_2020년03월17일_2018년12월31일_
4009,2016.06.082016.03.30CB(2015.12)005300110111-0003684,롯데칠성음료,110111-0003684,(2015.12),2015년12월31일_2016년3월17일_2014년12월31일_
7045,2017.03.302017.03.30CB(2016.12)005300110111-0003684,롯데칠성음료,110111-0003684,(2016.12),2015년12월31일_2017년3월16일_2016년12월31일_
11910,2018.03.302018.03.30CB(2017.12)005300110111-0003684,롯데칠성음료,110111-0003684,(2017.12),2017년4월26일_2017년10월1일_2018년3월15일_2017년8월29일_2016년12월31일_2017년12월31일_
17335,2019.04.012019.04.01CB(2018.12)005300110111-0003684,롯데칠성음료,110111-0003684,(2018.12),2018년12월31일_2019년3월20일_2017년12월31일_
22270,2020.03.302020.03.30CB(2019.12)005300110111-0003684,롯데칠성음료,110111-0003684,(2019.12),2019년12월31일_2018년12월31일_2020년3월19일_
3932,2016.05.162016.03.30CB(2015.12)005430110111-0003692,한국공항,110111-0003692,(2015.12),2015년12월31일_2016년3월10일_2014년12월31일_
8153,2017.03.312017.03.31CB(2016.12)005430110111-0003692,한국공항,110111-0003692,(2016.12),2015년12월31일_2016년12월31일_2017년3월15일_
12290,2018.03.302018.03.30CB(2017.12)005430110111-0003692,한국공항,110111-0003692,(2017.12),2018년3월14일_2016년12월31일_2017년3월15일_2017년12월31일_
17980,2019.04.012019.04.01CB(2018.12)005430110111-0003692,한국공항,110111-0003692,(2018.12),2018년12월31일_2019년3월18일_2017년12월31일_
23241,2020.03.302020.03.30CB(2019.12)005430110111-0003692,한국공항,110111-0003692,(2019.12),2019년12월31일_2018년12월31일_2020년3월17일_
2132,2016.05.162016.03.30SB(2015.12)001340110111-0003709,백광산업,110111-0003709,(2015.12),2015년12월31일_2016년3월21일_2015년3월18일_2014년12월31일_
19614,2020.03.302017.03.31SB(2016.12)001340110111-0003709,백광산업,110111-0003709,(2016.12),2017년3월6일_2015년12월31일_2016년3월18일_2016년12월31일_2017년03월6일_
19616,2020.03.302018.04.02SB(2017.12)001340110111-0003709,백광산업,110111-0003709,(2017.12),2018년3월15일_2016년12월31일_2018년03월15일_2017년12월31일_
19619,2020.03.302019.04.01SB(2018.12)001340110111-0003709,백광산업,110111-0003709,(2018.12),2019년03월07일_2017년12월31일_2018년12월31일_
22362,2020.03.302020.03.30CB(2019.12)001340110111-0003709,백광산업,110111-0003709,(2019.12),2019년12월31일_2018년12월31일_2020년3월19일_
3712,2016.05.122016.03.30CB(2015.12)001130110111-0003733,대한제분,110111-0003733,(2015.12),2015년12월31일_2016년3월7일_2014년12월31일_
7027,2017.03.302017.03.30CB(2016.12)001130110111-0003733,대한제분,110111-0003733,(2016.12),2015년12월31일_2016년12월31일_2017년3월4일_
11870,2018.03.302018.03.30CB(2017.12)001130110111-0003733,대한제분,110111-0003733,(2017.12),2018년3월06일_2016년12월31일_2017년12월31일_
16702,2019.03.292019.03.29CB(2018.12)001130110111-0003733,대한제분,110111-0003733,(2018.12),2018년12월31일_2019년3월14일_2017년12월31일_
22167,2020.03.302020.03.30CB(2019.12)001130110111-0003733,대한제분,110111-0003733,(2019.12),2019년12월31일_2018년12월31일_2020년3월12일_
3896,2016.05.162016.03.30CB(2015.12)000670110111-0003824,영풍,110111-0003824,(2015.12),2015년12월31일_2016년3월17일_2014년12월31일_
13188,2018.05.152017.03.31CB(2016.12)000670110111-0003824,영풍,110111-0003824,(2016.12),2015년12월31일_2017년3월16일_2016년12월31일_
12784,2018.04.022018.04.02CB(2017.12)000670110111-0003824,영풍,110111-0003824,(2017.12),2016년12월31일_2018년3월13일_2017년12월31일_
17672,2019.04.012019.04.01CB(2018.12)000670110111-0003824,영풍,110111-0003824,(2018.12),2018년12월31일_2019년3월14일_2017년12월31일_
22763,2020.03.302020.03.30CB(2019.12)000670110111-0003824,영풍,110111-0003824,(2019.12),2019년12월31일_2018년12월31일_2020년3월12일_
2703,2016.03.302016.03.30CB(2015.12)006260110111-0003965,LS,110111-0003965,(2015.12),2015년12월31일_2016년3월17일_2014년12월31일_
7255,2017.03.312017.03.31CB(2016.12)006260110111-0003965,LS,110111-0003965,(2016.12),2015년12월31일_2017년3월16일_2016년12월31일_
12397,2018.04.022018.04.02CB(2017.12)006260110111-0003965,LS,110111-0003965,(2017.12),2018년3월20일_2016년12월31일_2017년12월31일_
17102,2019.04.012019.04.01CB(2018.12)006260110111-0003965,LS,110111-0003965,(2018.12),2019년3월19일_2018년12월31일_2017년12월31일_
21939,2020.03.302020.03.30CB(2019.12)006260110111-0003965,LS,110111-0003965,(2019.12),2019년12월31일_2018년12월31일_2020년3월17일_
2870,2016.03.302016.03.30CB(2015.12)005900110111-0004038,동양건설산업,110111-0004038,(2015.12),2015년4월10일_2015년3월16일_2015년12월31일_2015년3월30일_2016년3월24일_2014년12월31일_
7430,2017.03.312017.03.31CB(2016.12)005900110111-0004038,동양건설산업,110111-0004038,(2016.12),2015년12월31일_2016년12월31일_2017년3월17일_
13356,2018.07.102018.04.30CB(2017.12)005900110111-0004038,동양건설산업,110111-0004038,(2017.12),2016년10월19일_2017년3월17일_2017년1월2일_2016년12월31일_2016년11월29일_2017년12월31일_2018년4월25일_
18212,2019.04.232019.04.23CB(2018.12)005900110111-0004038,동양건설산업,110111-0004038,(2018.12),2019년4월15일_2018년12월31일_2017년12월31일_
23529,2020.04.292020.04.29CB(2019.12)005900110111-0004038,동양건설산업,110111-0004038,(2019.12),2019년12월31일_2018년12월31일_2020년4월24일_
3669,2016.04.282016.03.30CB(2015.12)028670110111-0004286,팬오션,110111-0004286,(2015.12),2015년2월12일_2014년6월30일_2015년12월31일_2016년03월11일_2015년6월12일_2015년7월30일_2014년12월31일_
8108,2017.03.312017.03.31CB(2016.12)028670110111-0004286,팬오션,110111-0004286,(2016.12),2015년12월31일_2016년3월11일_2017년3월14일_2016년12월31일_
13152,2018.04.172018.03.30CB(2017.12)028670110111-0004286,팬오션,110111-0004286,(2017.12),2018년3월15일_2016년12월31일_2017년12월31일_
16619,2019.03.282019.03.28CB(2018.12)028670110111-0004286,팬오션,110111-0004286,(2018.12),2019년3월19일_2018년12월31일_2017년12월31일_
23183,2020.03.302020.03.30CB(2019.12)028670110111-0004286,팬오션,110111-0004286,(2019.12),2019년12월31일_2018년12월31일_2020년3월19일_
2700,2016.03.302016.03.30CB(2015.12)001120110111-0004632,LG상사,110111-0004632,(2015.12),2015년12월31일_2016년3월2일_2014년12월31일_
7249,2017.03.312017.03.31CB(2016.12)001120110111-0004632,LG상사,110111-0004632,(2016.12),2015년12월31일_2017년3월8일_2016년12월31일_
11792,2018.03.302018.03.30CB(2017.12)001120110111-0004632,LG상사,110111-0004632,(2017.12),2016년12월31일_2017년12월31일_2018년3월6일_
17095,2019.04.012019.04.01CB(2018.12)001120110111-0004632,LG상사,110111-0004632,(2018.12),2019년3월7일_2018년12월31일_2017년12월31일_
21931,2020.03.302020.03.30CB(2019.12)001120110111-0004632,LG상사,110111-0004632,(2019.12),2019년12월31일_2018년12월31일_2020년3월17일_
3637,2016.04.072016.03.30CB(2015.12)004710110111-0004682,한솔테크닉스,110111-0004682,(2015.12),2016년3월10일_2015년12월31일_2014년12월31일_
8196,2017.03.312017.03.31CB(2016.12)004710110111-0004682,한솔테크닉스,110111-0004682,(2016.12),2015년12월31일_2016년3월10일_2016년12월31일_2017년3월23일_
11676,2018.03.232018.03.23CB(2017.12)004710110111-0004682,한솔테크닉스,110111-0004682,(2017.12),2018년3월14일_2016년12월31일_2017년12월31일_
18344,2019.06.252019.03.29CB(2018.12)004710110111-0004682,한솔테크닉스,110111-0004682,(2018.12),2018년12월31일_2019년3월18일_2017년12월31일_
23292,2020.03.302020.03.30CB(2019.12)004710110111-0004682,한솔테크닉스,110111-0004682,(2019.12),2019년12월31일_2020년3월13일_
3211,2016.03.302016.03.30CB(2015.12)001800110111-0004690,오리온홀딩스,110111-0004690,(2015.12),2015년12월31일_2016년3월17일_2015년3월16일_2014년12월31일_
8320,2017.04.132017.03.31CB(2016.12)001800110111-0004690,오리온홀딩스,110111-0004690,(2016.12),2015년12월31일_2016년12월31일_2017년3월23일_
12794,2018.04.022018.04.02CB(2017.12)001800110111-0004690,오리온홀딩스,110111-0004690,(2017.12),2017년3월31일_2017년6월1일_2016년12월31일_2017년12월31일_2018년3월22일_
17681,2019.04.012019.04.01CB(2018.12)001800110111-0004690,오리온홀딩스,110111-0004690,(2018.12),2018년12월31일_2019년3월21일_2017년12월31일_
22780,2020.03.302020.03.30CB(2019.12)001800110111-0004690,오리온홀딩스,110111-0004690,(2019.12),2019년12월31일_2018년12월31일_2020년3월11일_
2863,2016.03.302016.03.30CB(2015.12)005960110111-0005002,동부건설,110111-0005002,(2015.12),2015년12월31일_2015년3월30일_2015년7월3일_2016년3월30일_2015년1월7일_2014년12월31일_
7421,2017.03.312017.03.31CB(2016.12)005960110111-0005002,동부건설,110111-0005002,(2016.12),2015년12월31일_2016년10월27일_2016년12월31일_2017년3월15일_2016년9월2일_
12535,2018.04.022018.04.02CB(2017.12)005960110111-0005002,동부건설,110111-0005002,(2017.12),2018년3월13일_2016년12월31일_2017년3월15일_2017년12월31일_
17274,2019.04.012019.04.01CB(2018.12)005960110111-0005002,동부건설,110111-0005002,(2018.12),2018년12월31일_2019년3월8일_2017년12월31일_
22189,2020.03.302020.03.30CB(2019.12)005960110111-0005002,동부건설,110111-0005002,(2019.12),2019년12월31일_2018년12월31일_2020년3월13일_
2934,2016.03.302016.03.30CB(2015.12)005360110111-0005052,모나미,110111-0005052,(2015.12),2015년12월31일_2016년3월14일_2014년12월31일_
7503,2017.03.312017.03.31CB(2016.12)005360110111-0005052,모나미,110111-0005052,(2016.12),2015년12월31일_2016년12월31일_2017년3월7일_
12590,2018.04.022018.04.02CB(2017.12)005360110111-0005052,모나미,110111-0005052,(2017.12),2016년12월31일_2017년12월31일_2018년3월9일_
17364,2019.04.012019.04.01CB(2018.12)005360110111-0005052,모나미,110111-0005052,(2018.12),2018년12월31일_2019년3월14일_2017년12월31일_
22315,2020.03.302020.03.30CB(2019.12)005360110111-0005052,모나미,110111-0005052,(2019.12),2019년12월31일_2020년3월16일_
3001,2016.03.302016.03.30CB(2015.12)000810110111-0005078,삼성화재해상보험,110111-0005078,(2015.12),2015년12월31일_2016년3월3일_2014년12월31일_
7579,2017.03.312017.03.31CB(2016.12)000810110111-0005078,삼성화재해상보험,110111-0005078,(2016.12),2017년03월10일_2015년12월31일_2016년12월31일_
12639,2018.04.022018.04.02CB(2017.12)000810110111-0005078,삼성화재해상보험,110111-0005078,(2017.12),2016년12월31일_2018년3월15일_2017년12월31일_
17442,2019.04.012019.04.01CB(2018.12)000810110111-0005078,삼성화재해상보험,110111-0005078,(2018.12),2018년12월31일_2019년3월14일_2017년12월31일_
22427,2020.03.302020.03.30CB(2019.12)000810110111-0005078,삼성화재해상보험,110111-0005078,(2019.12),2019년12월31일_2018년12월31일_2020년3월12일_
2869,2016.03.302016.03.30CB(2015.12)001520110111-0005333,동양,110111-0005333,(2015.12),2016년1월26일_2015년12월31일_2016년2월19일_2016년1월8일_2016년1월20일_2016년1월7일_2016년3월11일_2016년2월3일_2014년12월31일_
7429,2017.03.312017.03.31CB(2016.12)001520110111-0005333,동양,110111-0005333,(2016.12),2015년12월31일_2016년12월31일_2017년3월6일_
13482,2018.09.212018.03.30CB(2017.12)001520110111-0005333,동양,110111-0005333,(2017.12),2017년3월6일_2018년3월15일_2018년1월1일_2016년12월31일_2017년12월29일_2017년12월31일_2017년11월17일_
18447,2019.08.142019.04.01CB(2018.12)001520110111-0005333,동양,110111-0005333,(2018.12),2017년12월31일_2018년12월31일_2018년3월15일_2019년3월19일_
22198,2020.03.302020.03.30CB(2019.12)001520110111-0005333,동양,110111-0005333,(2019.12),2019년12월31일_2018년12월31일_2020년3월19일_
714,2016.03.302016.03.30SB(2015.12)030950110111-0005432,보진재,110111-0005432,(2015.12),2016년3월10일_2015년12월31일_2014년12월31일_
4264,2017.03.292017.03.29SB(2016.12)030950110111-0005432,보진재,110111-0005432,(2016.12),2015년12월31일_2016년12월31일_2017년3월10일_
9172,2018.03.302018.03.30SB(2017.12)030950110111-0005432,보진재,110111-0005432,(2017.12),2018년3월14일_2016년12월31일_2017년12월31일_
13968,2019.03.292019.03.29SB(2018.12)030950110111-0005432,보진재,110111-0005432,(2018.12),2018년12월31일_2019년3월15일_2017년12월31일_
18648,2020.03.262020.03.26SB(2019.12)030950110111-0005432,보진재,110111-0005432,(2019.12),2019년12월31일_2018년12월31일_2020년2월19일_
3331,2016.03.302016.03.30CB(2015.12)000950110111-0005664,전방,110111-0005664,(2015.12),2015년12월31일_2016년3월4일_2014년12월31일_
7952,2017.03.312017.03.31CB(2016.12)000950110111-0005664,전방,110111-0005664,(2016.12),2015년12월31일_2017년3월3일_2016년12월31일_
12882,2018.04.022018.04.02CB(2017.12)000950110111-0005664,전방,110111-0005664,(2017.12),2018년3월12일_2016년12월31일_2017년12월31일_
18369,2019.06.282019.04.01CB(2018.12)000950110111-0005664,전방,110111-0005664,(2018.12),2018년12월31일_2019년3월14일_2017년12월31일_
22966,2020.03.302020.03.30CB(2019.12)000950110111-0005664,전방,110111-0005664,(2019.12),2019년12월31일_2020년3월18일_
2857,2016.03.302016.03.30CB(2015.12)110111-0005705,독립문,110111-0005705,(2015.12),2015년12월31일_2016년3월14일_2015년3월18일_2014년12월31일_
6902,2017.03.272017.03.27CB(2016.12)110111-0005705,독립문,110111-0005705,(2016.12),2015년12월31일_2017년3월9일_2016년12월31일_
9984,2018.04.022018.04.02SB(2017.12)110111-0005705,독립문,110111-0005705,(2017.12),2017년3월8일_2018년3월15일_2016년12월31일_2017년12월31일_
14709,2019.04.012019.04.01SB(2018.12)110111-0005705,독립문,110111-0005705,(2018.12),2018년12월31일_2019년3월15일_2017년12월31일_
19371,2020.03.302020.03.30SB(2019.12)110111-0005705,독립문,110111-0005705,(2019.12),2019년12월31일_2018년12월31일_2020년3월9일_
3011,2016.03.302016.03.30CB(2015.12)004690110111-0005929,삼천리,110111-0005929,(2015.12),2015년12월31일_2016년3월10일_2014년12월31일_
7587,2017.03.312017.03.31CB(2016.12)004690110111-0005929,삼천리,110111-0005929,(2016.12),2015년12월31일_2017년3월16일_2016년12월31일_
11969,2018.03.302018.03.30CB(2017.12)004690110111-0005929,삼천리,110111-0005929,(2017.12),2018년3월15일_2016년12월31일_2017년12월31일_
16777,2019.03.292019.03.29CB(2018.12)004690110111-0005929,삼천리,110111-0005929,(2018.12),2018년12월31일_2019년3월21일_2017년12월31일_
22442,2020.03.302020.03.30CB(2019.12)004690110111-0005929,삼천리,110111-0005929,(2019.12),2019년12월31일_2018년12월31일_2020년3월19일_
2992,2016.03.302016.03.30CB(2015.12)032830110111-0005953,삼성생명,110111-0005953,(2015.12),2015년12월31일_2016년2월29일_2014년12월31일_
7570,2017.03.312017.03.31CB(2016.12)032830110111-0005953,삼성생명,110111-0005953,(2016.12),2015년12월31일_2017년3월9일_2016년12월31일_
12634,2018.04.022018.04.02CB(2017.12)032830110111-0005953,삼성생명,110111-0005953,(2017.12),2016년12월31일_2017년12월31일_2018년3월9일_
17432,2019.04.012019.04.01CB(2018.12)032830110111-0005953,삼성생명,110111-0005953,(2018.12),2018년12월31일_2019년3월12일_2017년12월31일_
22418,2020.03.302020.03.30CB(2019.12)032830110111-0005953,삼성생명,110111-0005953,(2019.12),2019년12월31일_2018년12월31일_2020년3월11일_
2653,2016.03.302016.03.30CB(2015.12)001460110111-0005995,BYC,110111-0005995,(2015.12),2015년12월31일_2016년3월7일_2014년12월31일_
8640,2017.12.262017.03.31CB(2016.12)001460110111-0005995,BYC,110111-0005995,(2016.12),2015년12월31일_2016년12월31일_2017년3월7일_
12353,2018.04.022018.04.02CB(2017.12)001460110111-0005995,BYC,110111-0005995,(2017.12),2018년3월7일_2016년12월31일_2017년3월7일_2017년12월31일_
17051,2019.04.012019.04.01CB(2018.12)001460110111-0005995,BYC,110111-0005995,(2018.12),2018년12월31일_2019년3월8일_2017년12월31일_
21865,2020.03.302020.03.30CB(2019.12)001460110111-0005995,BYC,110111-0005995,(2019.12),2019년12월31일_2018년12월31일_2020년3월7일_
2657,2016.03.302016.03.30CB(2015.12)000120110111-0006167,CJ대한통운,110111-0006167,(2015.12),2015년12월31일_2016년03월10일_2014년12월31일_
7208,2017.03.312017.03.31CB(2016.12)000120110111-0006167,CJ대한통운,110111-0006167,(2016.12),2015년12월31일_2017년03월14일_2016년12월31일_
12354,2018.04.022018.04.02CB(2017.12)000120110111-0006167,CJ대한통운,110111-0006167,(2017.12),2018년03월14일_2016년12월31일_2017년12월31일_
18497,2019.10.022019.04.01CB(2018.12)000120110111-0006167,CJ대한통운,110111-0006167,(2018.12),2018년12월31일_2019년3월15일_2017년12월31일_
21869,2020.03.302020.03.30CB(2019.12)000120110111-0006167,CJ대한통운,110111-0006167,(2019.12),2019년12월31일_2018년12월31일_2020년3월20일_
3113,2016.03.302016.03.30CB(2015.12)002310110111-0006274,아세아제지,110111-0006274,(2015.12),2015년12월31일_2016년2월22일_2014년12월31일_
7715,2017.03.312017.03.31CB(2016.12)002310110111-0006274,아세아제지,110111-0006274,(2016.12),2015년12월31일_2017년3월9일_2016년12월31일_
12041,2018.03.302018.03.30CB(2017.12)002310110111-0006274,아세아제지,110111-0006274,(2017.12),2016년12월31일_2018년3월8일_2017년12월31일_
16827,2019.03.292019.03.29CB(2018.12)002310110111-0006274,아세아제지,110111-0006274,(2018.12),2019년3월7일_2018년12월31일_2017년12월31일_
22604,2020.03.302020.03.30CB(2019.12)002310110111-0006274,아세아제지,110111-0006274,(2019.12),2019년12월31일_2018년12월31일_2020년3월12일_
3358,2016.03.302016.03.30CB(2015.12)002780110111-0006349,진흥기업,110111-0006349,(2015.12),2014년12월24일_2015년12월31일_2015년3월18일_2016년3월17일_2016년12월31일_2011년2월24일_2014년12월31일_
7999,2017.03.312017.03.31CB(2016.12)002780110111-0006349,진흥기업,110111-0006349,(2016.12),2017년3월23일_2015년12월31일_2017년3월9일_2018년12월31일_2016년12월31일_2011년2월24일_2016년12월21일_
12914,2018.04.022018.04.02CB(2017.12)002780110111-0006349,진흥기업,110111-0006349,(2017.12),2018년2월2일_2016년12월31일_2018년2월28일_2017년12월31일_2018년3월22일_
14240,2019.03.292019.03.29SB(2018.12)002780110111-0006349,진흥기업,110111-0006349,(2018.12),2018년12월31일_2019년3월14일_
